line_no,section_key,raw_title,price_charting_console_id,console_display_name,price_charting_product_id,product_name,console_name,upc,ambiguous,skipped,skip_reason,error
3,xbox,Brothers in Arms Earned in Blood,G8,Xbox,6106,Brothers in Arms Earned in Blood,Xbox,008888512615,,,,
4,xbox,Buffy the Vampire Slayer,G8,Xbox,6110,Buffy the Vampire Slayer,Xbox,014633143959,,,,
5,xbox,Dead to Rights,G8,Xbox,6180,Dead to Rights,Xbox,722674021333,,,,
6,xbox,Doom 3,G8,Xbox,6192,Doom 3,Xbox,047875807051,,,,
7,xbox,Tom Clancy Ghost Recon 2,G8,Xbox,6265,Ghost Recon 2,Xbox,008888511649,,,,
8,xbox,Grabbed by the Ghoulies,G8,Xbox,6274,Grabbed by the Ghoulies,Xbox,805529578760,,,,
9,xbox,Grand Theft Auto Vice City,G8,Xbox,31455,Grand Theft Auto Vice City,Xbox,767578282138,,,,
10,xbox,Maximum Chase,G8,Xbox,6373,Maximum Chase,Xbox,096427013273,,,,
11,xbox,Mechassault 2,G8,Xbox,6375,MechAssault 2 Lone Wolf,Xbox,805529974982,yes,,,
12,xbox,Mercenaries,G8,Xbox,6381,Mercenaries,Xbox,023272663759,,,,
13,xbox,NBA Inside Drive 2004,G8,Xbox,11742,NBA Inside Drive 2004,Xbox,805529578784,,,,
14,xbox,Star Wars Clone Wars / Tetris Worlds,G8,Xbox,6613,Star Wars Clone Wars,Xbox,023272320751,,,,
15,xbox,Unreal Championship,G8,Xbox,6710,Unreal Championship,Xbox,742725235045,,,,
16,xbox,Xyanide,G8,Xbox,11838,Xyanide,Xbox,896992000278,,,,
17,xbox,Amped,G8,Xbox,6062,Amped Snowboarding,Xbox,659556745042,yes,,,
18,xbox,Amped,G8,Xbox,6062,Amped Snowboarding,Xbox,659556745042,yes,,,
19,xbox,Dead or Alive 3,G8,Xbox,6177,Dead or Alive 3,Xbox,018946010229,,,,
20,xbox,Destroy all Humans,G8,Xbox,6187,Destroy All Humans,Xbox,752919520284,,,,
21,xbox,Project Gotham Racing 2,G8,Xbox,6522,Project Gotham Racing 2,Xbox,805529569553,,,,
22,xbox,Elder Scrolls III Morrowind,G8,Xbox,6207,Elder Scrolls III Morrowind,Xbox,093155116702,,,,
23,xbox,Outrun 2,G8,Xbox,6502,OutRun 2,Xbox,805529909632,,,,
24,xbox,Sega GT 2002 / JSRF,G8,Xbox,6560,Sega GT 2002 & JSRF,Xbox,805529182103,,,,
25,xbox,Jade Empire,G8,Xbox,6317,Jade Empire,Xbox,805529974951,,,,
26,xbox,Shadow Ops,G8,Xbox,6565,Shadow Ops Red Mercury,Xbox,742725249271,,,,
27,xbox,Midnight Club 3 DUB Edition,G8,Xbox,6386,Midnight Club 3 Dub Edition,Xbox,710425295850,,,,
29,xbox 360,Assassin's Creed,G10,Xbox 360,10529,Assassin's Creed,Xbox 360,008888523390,,,,
30,xbox 360,The Bigs 2,G10,Xbox 360,19372,The Bigs 2,Xbox 360,710425395963,,,,
31,xbox 360,Borderlands 2,G10,Xbox 360,33057,Borderlands 2,Xbox 360,710425491016,,,,
32,xbox 360,Brave a Warrior's Tale,G10,Xbox 360,19463,Brave: A Warrior's Tale,Xbox 360,896992000520,,,,
33,xbox 360,Elder scrolls Skyrim,G10,Xbox 360,32101,Elder Scrolls V: Skyrim,Xbox 360,093155117631,yes,,,
34,xbox 360,Fable II,G10,Xbox 360,15742,Fable II,Xbox 360,882224694179,,,,
35,xbox 360,Grand Theft Auto IV,G10,Xbox 360,13231,Grand Theft Auto IV,Xbox 360,710425392320,,,,
36,xbox 360,Grand Theft Auto IV,G10,Xbox 360,13231,Grand Theft Auto IV,Xbox 360,710425392320,,,,
37,xbox 360,Halo 3,G10,Xbox 360,9084,Halo 3,Xbox 360,882224444477,,,,
38,xbox 360,Iron Man 2,G10,Xbox 360,21268,Iron Man 2,Xbox 360,010086680416,,,,
